time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,label
51978,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51979,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51980,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51981,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51982,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51983,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51984,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51985,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51986,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51988,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51989,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51990,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51991,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51992,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51993,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51994,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51995,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51996,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51997,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51998,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
51999,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
52000,0.00001,0.00005,0.00014,0.00016,-0.00007,-0.00015,-0.00003,-0.00001,0
52001,0.00003,0.00003,0.00006,0.0001,0.00014,0.00006,0.00007,0.00005,0
52002,-0.00006,-0.00011,-0.00013,-0.00017,-0.00023,-0.00002,0.00001,-0.00002,0
52003,-0.00006,-0.00011,-0.00013,-0.00017,-0.00023,-0.00002,0.00001,-0.00002,0
52004,-0.00006,-0.00011,-0.00013,-0.00017,-0.00023,-0.00002,0.00001,-0.00002,0
52005,-0.00006,-0.00011,-0.00013,-0.00017,-0.00023,-0.00002,0.00001,-0.00002,0
52006,-0.00006,-0.00011,-0.00013,-0.00017,-0.00023,-0.00002,0.00001,-0.00002,0
52007,-0.00006,-0.00011,-0.00013,-0.00017,-0.00023,-0.00002,0.00001,-0.00002,0
52008,0.00001,-0.00001,-0.00001,-0.00026,-0.00037,-0.00007,-0.00006,-0.00003,0
52009,0.00002,-0.00004,-0.00003,0.00004,0.00013,0.00025,0.0001,0.00002,0
52010,0.00002,-0.00004,-0.00003,0.00004,0.00013,0.00025,0.0001,0.00002,0
52011,0.00002,-0.00004,-0.00003,0.00004,0.00013,0.00025,0.0001,0.00002,0
52012,0.00002,-0.00004,-0.00003,0.00004,0.00013,0.00025,0.0001,0.00002,0
52013,0.00002,-0.00004,-0.00003,0.00004,0.00013,0.00025,0.0001,0.00002,0
52014,0.00002,-0.00004,-0.00003,0.00004,0.00013,0.00025,0.0001,0.00002,0
52015,0.00002,-0.00004,-0.00003,0.00004,0.00013,0.00025,0.0001,0.00002,0
52016,0.00002,-0.00004,-0.00003,0.00004,0.00013,0.00025,0.0001,0.00002,0
52017,0.00002,-0.00004,-0.00003,0.00004,0.00013,0.00025,0.0001,0.00002,0
52018,0.00002,-0.00004,-0.00003,0.00004,0.00013,0.00025,0.0001,0.00002,0
52019,0.00002,-0.00004,-0.00003,0.00004,0.00013,0.00025,0.0001,0.00002,0
52020,0.00002,-0.00004,-0.00003,0.00004,0.00013,0.00025,0.0001,0.00002,0
52021,0.00002,-0.00004,-0.00003,0.00004,0.00013,0.00025,0.0001,0.00002,0
52022,0.00002,-0.00004,-0.00003,0.00004,0.00013,0.00025,0.0001,0.00002,0
52023,-0.00003,-0.00007,-0.00012,-0.00032,-0.0004,-0.00001,-0.00005,-0.00001,0
3361,-0.00001,-0.00002,-0.00004,-0.00004,-0.00002,-0.00004,0,-0.00001,1
3362,-0.00001,-0.00002,-0.00004,-0.00004,-0.00002,-0.00004,0,-0.00001,1
3363,-0.00001,-0.00002,-0.00004,-0.00004,-0.00002,-0.00004,0,-0.00001,1
3364,-0.00001,-0.00002,-0.00004,-0.00004,-0.00002,-0.00004,0,-0.00001,1
3365,-0.00001,-0.00002,-0.00004,-0.00004,-0.00002,-0.00004,0,-0.00001,1
3366,-0.00001,-0.00002,-0.00004,-0.00004,-0.00002,-0.00004,0,-0.00001,1
3367,-0.00001,-0.00002,-0.00004,-0.00004,-0.00002,-0.00004,0,-0.00001,1
3368,-0.00001,-0.00002,-0.00004,-0.00004,-0.00002,-0.00004,0,-0.00001,1
3369,-0.00001,-0.00002,-0.00004,-0.00004,-0.00002,-0.00004,0,-0.00001,1
3370,-0.00001,-0.00002,-0.00004,-0.00004,-0.00002,-0.00004,0,-0.00001,1
3371,0,0.00005,0.00004,0.00001,-0.00001,-0.00001,0,0,1
3372,0,0.00005,0.00004,0.00001,-0.00001,-0.00001,0,0,1
3373,0,0.00005,0.00004,0.00001,-0.00001,-0.00001,0,0,1
3374,0,0.00005,0.00004,0.00001,-0.00001,-0.00001,0,0,1
3375,0,0.00005,0.00004,0.00001,-0.00001,-0.00001,0,0,1
3376,0,0.00005,0.00004,0.00001,-0.00001,-0.00001,0,0,1
3377,0,0.00005,0.00004,0.00001,-0.00001,-0.00001,0,0,1
3378,0,0.00005,0.00004,0.00001,-0.00001,-0.00001,0,0,1
3379,0,0.00005,0.00004,0.00001,-0.00001,-0.00001,0,0,1
3380,0,0.00005,0.00004,0.00001,-0.00001,-0.00001,0,0,1
3381,0,0.00005,0.00004,0.00001,-0.00001,-0.00001,0,0,1
3382,0,0.00005,0.00004,0.00001,-0.00001,-0.00001,0,0,1
3383,0,0.00005,0.00004,0.00001,-0.00001,-0.00001,0,0,1
3384,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3385,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3386,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3388,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3389,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3390,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3391,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3392,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3393,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3394,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3395,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3396,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3397,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3398,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3399,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3400,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3401,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3402,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3403,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3404,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3405,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3406,-0.00003,-0.00002,-0.00002,0,-0.00004,-0.00002,-0.00002,0,1
3407,-0.00002,-0.00002,-0.00003,-0.00002,0,0,0,-0.00002,1
3408,-0.00002,-0.00001,0,-0.00002,-0.00001,0,-0.00001,-0.00003,1
3409,-0.00002,-0.00001,0,-0.00002,-0.00001,0,-0.00001,-0.00003,1
3410,-0.00002,-0.00001,0,-0.00002,-0.00001,0,-0.00001,-0.00003,1
3411,-0.00002,-0.00001,0,-0.00002,-0.00001,0,-0.00001,-0.00003,1
3412,-0.00002,-0.00001,0,-0.00002,-0.00001,0,-0.00001,-0.00003,1
3413,-0.00002,-0.00001,0,-0.00002,-0.00001,0,-0.00001,-0.00003,1
3414,-0.00002,-0.00001,0,-0.00002,-0.00001,0,-0.00001,-0.00003,1
3415,-0.00002,-0.00001,0,-0.00002,-0.00001,0,-0.00001,-0.00003,1
3416,-0.00001,-0.00001,-0.00001,0.00001,0.00001,0,-0.00001,0,1
3417,-0.00001,-0.00001,-0.00001,0.00001,0.00001,0,-0.00001,0,1
3418,-0.00001,-0.00001,-0.00001,0.00001,0.00001,0,-0.00001,0,1
3419,-0.00001,-0.00001,-0.00001,0.00001,0.00001,0,-0.00001,0,1
3420,-0.00001,-0.00001,-0.00001,0.00001,0.00001,0,-0.00001,0,1
3421,-0.00001,-0.00001,-0.00001,0.00001,0.00001,0,-0.00001,0,1
3422,-0.00001,-0.00001,-0.00001,0.00001,0.00001,0,-0.00001,0,1
3423,-0.00001,-0.00001,-0.00001,0.00001,0.00001,0,-0.00001,0,1
3424,-0.00001,-0.00001,-0.00001,0.00001,0.00001,0,-0.00001,0,1
3425,-0.00001,-0.00001,-0.00001,0.00001,0.00001,0,-0.00001,0,1
3426,-0.00001,-0.00001,-0.00001,0.00001,0.00001,0,-0.00001,0,1
3427,-0.00001,-0.00001,-0.00001,0.00001,0.00001,0,-0.00001,0,1
3428,-0.00001,-0.00001,-0.00001,0.00001,0.00001,0,-0.00001,0,1
3429,-0.00001,-0.00001,-0.00001,0.00001,0.00001,0,-0.00001,0,1
3430,-0.00001,-0.00001,0.00001,-0.00001,-0.00001,-0.00001,-0.00002,-0.00002,1
3431,-0.00001,-0.00001,0.00001,-0.00001,-0.00001,-0.00001,-0.00002,-0.00002,1
3432,-0.00001,-0.00003,-0.00001,0,-0.00001,0,-0.00002,-0.00002,1
3433,-0.00001,-0.00003,-0.00001,0,-0.00001,0,-0.00002,-0.00002,1
3434,-0.00001,-0.00003,-0.00001,0,-0.00001,0,-0.00002,-0.00002,1
3435,-0.00001,-0.00003,-0.00001,0,-0.00001,0,-0.00002,-0.00002,1
3436,-0.00001,-0.00003,-0.00001,0,-0.00001,0,-0.00002,-0.00002,1
3438,-0.00001,-0.00003,-0.00001,0,-0.00001,0,-0.00002,-0.00002,1
3439,-0.00001,-0.00003,-0.00001,0,-0.00001,0,-0.00002,-0.00002,1
3440,-0.00001,-0.00003,-0.00001,0,-0.00001,0,-0.00002,-0.00002,1
3441,-0.00001,-0.00003,-0.00001,0,-0.00001,0,-0.00002,-0.00002,1
3442,-0.00001,-0.00003,-0.00001,0,-0.00001,0,-0.00002,-0.00002,1
3443,-0.00001,-0.00003,-0.00001,0,-0.00001,0,-0.00002,-0.00002,1
3444,-0.00001,-0.00003,0,-0.00001,0,0,0,-0.00003,1
3445,-0.00001,-0.00003,0,-0.00001,0,0,0,-0.00003,1
3446,-0.00001,-0.00003,0,-0.00001,0,0,0,-0.00003,1
3447,-0.00001,-0.00003,0,-0.00001,0,0,0,-0.00003,1
3448,-0.00001,-0.00003,0,-0.00001,0,0,0,-0.00003,1
3449,-0.00001,-0.00003,0,-0.00001,0,0,0,-0.00003,1
3450,-0.00001,-0.00003,0,-0.00001,0,0,0,-0.00003,1
3451,-0.00001,-0.00003,0,-0.00001,0,0,0,-0.00003,1
3452,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3453,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3454,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3455,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3456,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3457,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3458,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3459,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3461,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3462,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3463,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3464,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3465,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3466,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3467,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3468,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3469,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3470,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3471,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3472,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3473,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3474,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3475,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3476,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3477,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3478,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3479,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3480,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3481,-0.00001,-0.00001,-0.00001,-0.00003,-0.00003,0,-0.00001,0,1
3482,-0.00001,0.00002,-0.00003,-0.00003,-0.00001,-0.00002,-0.00001,0,1
3483,-0.00001,0.00002,-0.00003,-0.00003,-0.00001,-0.00002,-0.00001,0,1
3484,-0.00002,-0.00003,-0.00003,0,-0.00001,-0.00001,-0.00002,0,1
3485,-0.00002,-0.00003,-0.00003,0,-0.00001,-0.00001,-0.00002,0,1
3486,-0.00002,-0.00003,-0.00003,0,-0.00001,-0.00001,-0.00002,0,1
3489,-0.00002,-0.00003,-0.00003,0,-0.00001,-0.00001,-0.00002,0,1
3490,-0.00002,-0.00003,-0.00003,0,-0.00001,-0.00001,-0.00002,0,1
3491,-0.00002,-0.00002,-0.00001,0,0.00001,-0.00001,0.00001,-0.00001,1
3492,0,-0.00002,0,0,-0.00001,-0.00001,0.00001,0,1
3493,0,-0.00002,0,0,-0.00001,-0.00001,0.00001,0,1
3494,0,-0.00002,0,0,-0.00001,-0.00001,0.00001,0,1
3495,0,-0.00002,0,0,-0.00001,-0.00001,0.00001,0,1
3496,0,-0.00002,0,0,-0.00001,-0.00001,0.00001,0,1
3497,0,-0.00002,0,0,-0.00001,-0.00001,0.00001,0,1
3498,0,-0.00002,0,0,-0.00001,-0.00001,0.00001,0,1
3499,0,-0.00002,0,0,-0.00001,-0.00001,0.00001,0,1
3500,0,-0.00002,0,0,-0.00001,-0.00001,0.00001,0,1
3501,0,-0.00002,0,0,-0.00001,-0.00001,0.00001,0,1
3502,0,-0.00002,0,0,-0.00001,-0.00001,0.00001,0,1
3503,0,-0.00002,0,0,-0.00001,-0.00001,0.00001,0,1
3504,-0.00001,0.00002,0.00002,0,0,-0.00001,-0.00002,0,1
3505,-0.00001,0.00002,0.00002,0,0,-0.00001,-0.00002,0,1
3506,-0.00001,0.00002,0.00002,0,0,-0.00001,-0.00002,0,1
3507,-0.00001,0.00002,0.00002,0,0,-0.00001,-0.00002,0,1
3508,-0.00001,0.00002,0.00002,0,0,-0.00001,-0.00002,0,1
3509,-0.00001,0.00002,0.00002,0,0,-0.00001,-0.00002,0,1
3510,-0.00001,0.00002,0.00002,0,0,-0.00001,-0.00002,0,1
3511,-0.00001,0.00002,0.00002,0,0,-0.00001,-0.00002,0,1
3512,-0.00001,0.00002,0.00002,0,0,-0.00001,-0.00002,0,1
3513,-0.00003,-0.00004,-0.00002,-0.00001,-0.00004,-0.00001,0,-0.00004,1
3514,-0.00003,-0.00004,-0.00002,-0.00001,-0.00004,-0.00001,0,-0.00004,1
3515,-0.00003,-0.00004,-0.00002,-0.00001,-0.00004,-0.00001,0,-0.00004,1
3516,-0.00003,-0.00004,-0.00002,-0.00001,-0.00004,-0.00001,0,-0.00004,1
3517,-0.00003,-0.00004,-0.00002,-0.00001,-0.00004,-0.00001,0,-0.00004,1
3518,-0.00003,-0.00004,-0.00002,-0.00001,-0.00004,-0.00001,0,-0.00004,1
3519,-0.00003,-0.00004,-0.00002,-0.00001,-0.00004,-0.00001,0,-0.00004,1
3520,-0.00003,-0.00004,-0.00002,-0.00001,-0.00004,-0.00001,0,-0.00004,1
3521,-0.00003,-0.00004,-0.00002,-0.00001,-0.00004,-0.00001,0,-0.00004,1
3522,-0.00003,-0.00004,-0.00002,-0.00001,-0.00004,-0.00001,0,-0.00004,1
3523,-0.00003,-0.00004,-0.00002,-0.00001,-0.00004,-0.00001,0,-0.00004,1
3524,-0.00003,-0.00004,-0.00002,-0.00001,-0.00004,-0.00001,0,-0.00004,1
3525,-0.00003,-0.00004,-0.00002,-0.00001,-0.00004,-0.00001,0,-0.00004,1
3526,0,-0.00002,0.00001,0,-0.00001,-0.00001,-0.00001,0,1
3527,0,-0.00002,0.00001,0,-0.00001,-0.00001,-0.00001,0,1
3528,0,-0.00002,0.00001,0,-0.00001,-0.00001,-0.00001,0,1
3529,0,-0.00002,0.00001,0,-0.00001,-0.00001,-0.00001,0,1
3530,0,-0.00002,0.00001,0,-0.00001,-0.00001,-0.00001,0,1
3531,0,-0.00002,0.00001,0,-0.00001,-0.00001,-0.00001,0,1
3532,0,-0.00002,0.00001,0,-0.00001,-0.00001,-0.00001,0,1
3533,0,-0.00002,0.00001,0,-0.00001,-0.00001,-0.00001,0,1
3534,0,-0.00002,0.00001,0,-0.00001,-0.00001,-0.00001,0,1
3535,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3536,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3539,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3540,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3541,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3542,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3543,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3544,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3545,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3546,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3547,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3548,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3549,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3550,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3551,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3552,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3553,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3554,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3555,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3556,0,0,-0.00001,-0.00003,-0.00002,-0.00001,0,0,1
3557,0.00002,-0.00002,-0.00002,0.00001,0.00001,0.00001,0,0,1
3558,0.00002,-0.00002,-0.00002,0.00001,0.00001,0.00001,0,0,1
3559,0,0.00001,0.00002,-0.00001,0,-0.00002,-0.00001,-0.00001,1
3560,0,0.00001,0.00002,-0.00001,0,-0.00002,-0.00001,-0.00001,1
3561,0,0.00001,0.00002,-0.00001,0,-0.00002,-0.00001,-0.00001,1
3562,0,0.00001,0.00002,-0.00001,0,-0.00002,-0.00001,-0.00001,1
